cluster_name,Clinical Study,Model Development,Model Evaluation,Other,Review
"analysis, covid, 19, genes, based",1,5,4,21,0
"approach, vitro, fertilization, pharmacology, intelligence",0,0,2,11,0
"artificial, ai, intelligence, based, clinical",1,2,1,17,2
"based, heart, failure, recognition, fusion",0,2,2,9,0
"based, image, diagnosis, images, learning",0,10,1,13,0
"cancer, analysis, genes, learning, machine",0,9,2,27,1
"clinical, knowledge, support, decision, based",0,1,0,13,0
"clinical, using, language, natural, processing",0,2,11,26,1
"convolutional, neural, based, network, using",1,8,2,8,0
"data, big, healthcare, care, digital",0,1,0,19,1
"data, mining, based, healthcare, medicine",1,2,1,20,0
"deep, learning, segmentation, risk, based",0,10,1,8,0
"disease, using, alzheimer, network, deep",0,8,1,17,1
"learning, deep, cardiac, intelligence, artificial",0,9,2,8,0
"learning, deep, using, covid, 19",0,17,3,12,0
"learning, machine, clinical, based, patients",0,12,2,11,0
"learning, machine, prediction, patients, mortality",2,23,2,19,1
"learning, reconstruction, deep, mri, image",0,7,2,3,0
"network, cell, human, rna, remodeling",0,0,0,10,0
"radiomics, radiogenomics, review, lung, cancer",0,1,0,10,1
"radiotherapy, learning, planning, deep, cancer",0,8,2,12,1
"segmentation, deep, learning, detection, brain",0,4,2,7,0
