pmid,title,authors,journal,year,doi,cited_by_count,abstract,cluster,cluster_name,is_clinical,study_design
41380085,An Intelligent Trial Eligibility Screening Tool Using Natural Language Processing With a Block-Based Visual Programming Interface: Development and Usability Study,"Hu YH, Cheng YY, Lan CC, Su YH, Sung SF.",JMIR Med Inform,2025,10.2196/80072,0,,7,Decision Support: Clinical Decision Support Systems,True,Simulation
11604789,Automatic identification of patients eligible for a pneumonia guideline: comparing the diagnostic accuracy of two decision support models,"Lagor C, Aronsky D, Fiszman M, Haug PJ.",Stud Health Technol Inform,2001,,0,,17,Decision Support: Clinical Decision Support Systems,True,Diagnostic Accuracy
40153611,The Challenges of Using ChatGPT for Clinical Decision Support in Orthopaedic Surgery: A Pilot Study,"McNamara MA, Hill BG, Schilling PL.",J Am Acad Orthop Surg,2025,10.5435/jaaos-d-24-01072,0,,7,Decision Support: Clinical Decision Support Systems,True,Implementation
41475820,Digital support for chronic dyspnoea management in primary care: protocol for the BREATHE (Breathlessness Rapid Evaluation and Therapy) cluster randomised controlled trial,"Martin A, Sunjaya AP, Giskes K, McKeough Z, Hespe CM, Arnott C, Billot L, Campain A, Scowcroft CP, Atkins ER, Jan S, Scott HA, Chua AV, Jenkins CR and BREATHE Investigators.",BMJ Open,2025,10.1136/bmjopen-2025-108255,0,,16,Decision Support: Clinical Decision Support Systems,True,Cluster RCT
40231728,A large-scale retrospective study in metastatic breast cancer patients using circulating tumour DNA and machine learning to predict treatment outcome and progression-free survival,"Beddowes EJ, Ortega Duran M, Karapanagiotis S, Martin A, Gao M, Masina R, Woitek R, Tanner J, Tippin F, Kane J, Lay J, Brouwer A, Sammut SJ, Chin SF, Gale D, Tsui DWY, Dawson SJ, Rosenfeld N, Callari M, Rueda OM, Caldas C.",Mol Oncol,2025,10.1002/1878-0261.70015,0,,11,Decision Support: Clinical Decision Support Systems,True,Retrospective Cohort
40152766,Multimodal Artificial Intelligence Models Predicting Glaucoma Progression Using Electronic Health Records and Retinal Nerve Fiber Layer Scans,"Koornwinder A, Zhang Y, Ravindranath R, Chang RT, Bernstein IA, Wang SY.",Transl Vis Sci Technol,2025,10.1167/tvst.14.3.27,0,,10,Decision Support: Clinical Decision Support Systems,True,Diagnostic Accuracy
39982152,"Machine Learning-Based Pediatric Early Warning Score: Patient Outcomes in a Pre- Versus Post-Implementation Study, 2019-2023","Mayampurath A, Carey K, Palama B, Gonzalez M, Reid J, Bartlett AH, Churpek M, Edelson D, Jani P.",Pediatr Crit Care Med,2025,10.1097/pcc.0000000000003656,0,,11,Decision Support: Clinical Decision Support Systems,True,Implementation
22195122,Integration of heterogeneous clinical decision support systems and their knowledge sets: feasibility study with Drug-Drug Interaction alerts,"Kam HJ, Kim JA, Cho I, Kim Y, Park RW.",AMIA Annu Symp Proc,2011,,0,,19,Decision Support: Clinical Decision Support Systems,True,Implementation
37726729,The influence of explainable vs non-explainable clinical decision support systems on rapid triage decisions: a mixed methods study,"Laxar D, Eitenberger M, Maleczek M, Kaider A, Hammerle FP, Kimberger O.",BMC Med,2023,10.1186/s12916-023-03068-2,0,,18,Decision Support: Clinical Decision Support Systems,True,Simulation
35524301,"""Many roads lead to Rome and the Artificial Intelligence only shows me one road"": an interview study on physician attitudes regarding the implementation of computerised clinical decision support systems","Van Cauwenberge D, Van Biesen W, Decruyenaere J, Leune T, Sterckx S.",BMC Med Ethics,2022,10.1186/s12910-022-00787-8,0,,7,Decision Support: Clinical Decision Support Systems,True,Simulation
38513393,Glass box machine learning for retrospective cohort studies using many patient records. The complex example of bleeding peptic ulcer,"Robson B, Baek OK.",Comput Biol Med,2024,10.1016/j.compbiomed.2024.108085,0,,11,Decision Support: Clinical Decision Support Systems,True,Retrospective Cohort
37102995,"Automated, machine learning-based alerts increase epilepsy surgery referrals: A randomized controlled trial","Wissel BD, Greiner HM, Glauser TA, Mangano FT, Holland-Bouley KD, Zhang N, Szczesniak RD, Santel D, Pestian JP, Dexheimer JW.",Epilepsia,2023,10.1111/epi.17629,0,,8,Decision Support: Clinical Decision Support Systems,True,RCT
23787345,Stacked autoencoders for unsupervised feature learning and multiple organ detection in a pilot study using 4D patient data,"Shin HC, Orton MR, Collins DJ, Doran SJ, Leach MO.",IEEE Trans Pattern Anal Mach Intell,2013,10.1109/tpami.2012.277,0,,4,Reasoning: Probabilistic Diagnosis,True,Implementation
